,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
43714,VEH,7SAYGDEE3PA181116,PAS,MIDDLE VILLAGE,NY,11379,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,6459.0,,,05/15/2024,05/14/2026,BK,N,N,N
43721,VEH,7SAYGDEE3PA180645,PAS,FLUSHING,NY,11358,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4478.0,,,11/22/2023,11/21/2025,GY,N,N,N
43745,VEH,7SAYGDEE3PA179527,PAS,LITTLE NECK,NY,11362,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/14/2023,08/24/2025,BL,N,N,N
43751,VEH,7SAYGDEE3PA179236,PAS,NEW YORK CITY,NY,10017,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4478.0,,,11/17/2023,11/30/2025,WH,N,N,N
43753,VEH,7SAYGDEE3PA179219,PAS,JAMAICA,NY,11435,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/15/2023,10/19/2025,WH,N,N,N
43764,VEH,7SAYGDEE3PA178748,PAS,STATEN ISLAND,NY,10303,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/15/2023,11/14/2025,WH,N,N,N
43768,VEH,7SAYGDEE3PA178636,PAS,BAYSIDE,NY,11361,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/08/2023,11/07/2025,WH,N,N,N
43770,VEH,7SAYGDEE3PA178569,PAS,BROOKLYN,NY,11249,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/12/2023,11/11/2025,GY,N,N,N
43778,VEH,7SAYGDEE3PA178300,PAS,FLUSHING,NY,11354,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4478.0,,,12/21/2023,11/18/2025,WH,N,N,N
43810,VEH,7SAYGDEE3PA175090,PAS,BRONX,NY,10455,BRONX,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,12/28/2023,12/27/2025,BK,N,N,N
43819,VEH,7SAYGDEE3PA174313,PAS,BELLE HARBOR,NY,11694,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/06/2023,11/05/2025,RD,N,N,N
43827,VEH,7SAYGDEE3PA172738,PAS,EAST ELMHURST,NY,11369,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/06/2023,11/05/2025,RD,N,N,N
43848,VEH,7SAYGDEE3PA168110,PAS,FLORAL PARK,NY,11004,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/23/2023,09/22/2025,RD,N,N,N
43849,VEH,7SAYGDEE3PA168060,PAS,BROOKLYN,NY,11230,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,05/10/2024,05/26/2026,GY,N,N,N
43852,VEH,7SAYGDEE3PA165790,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/13/2023,09/12/2025,GY,N,N,N
43853,VEH,7SAYGDEE3PA165773,PAS,NEW YORK,NY,10002,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,09/09/2023,09/30/2025,BL,N,N,N
